Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
8.594883,0.5336671,1.022253,-0.08063775,0.1121568,1.459142,-0.7750095,0.4839698,0.9197239,0.2589473,0.4812428,0.1599168,-0.5506203,-0.3654949,0.3125757,-0.6048542
8.66151,-0.02157712,-0.04805542,-0.05059032,0.7075394,0.6821951,-0.7513325,0.1634363,-0.4130613,0.3031682,0.4065103,-0.5629389,-0.5848414,-0.8867757,-0.0616105,0.081769
8.728137,1.404158,-0.03508599,-0.4210094,-0.4212273,1.3772,-1.448592,0.6476973,0.573846,-0.2435846,-0.1581856,-0.1267381,-0.9098633,0.3477433,0.4491321,-1.251413
8.794764,0.439233,-0.3386708,-0.6005062,0.2748799,-0.1185785,-0.1321448,1.001916,-0.3764379,-0.05056305,0.5106995,-0.5842685,-0.4433387,0.1482267,0.2871903,-0.7947634
8.861391,0.2665068,0.1492435,-0.4523958,-0.1137285,1.010992,-0.7612989,0.6521969,-0.4266821,-0.1682277,0.3349347,-0.08897136,-0.3588901,-0.9163123,0.06169819,-0.8481237
8.928018,2.476718,0.4029965,0.2371684,0.6250342,-0.2759105,-0.5261425,1.027749,-0.03934916,0.6241879,1.127373,-0.742381,-0.7997708,2.090255,0.6060504,0.1948811
8.994645,0.2590915,-0.6908497,-0.3685921,0.2038138,0.2740851,-1.914825,0.3499851,-0.2822595,0.2717804,-0.1579838,0.01187799,-0.4728706,0.1914174,-0.1702352,-1.067347
9.061272,-0.06034036,3.079792,-0.07052135,0.6421793,1.023245,-1.201826,0.3484136,-0.1719643,0.7801747,0.7495607,-0.1152445,-0.5023443,0.5201452,-0.4662447,-0.9743981
9.127899,0.6246792,1.358655,-0.03419716,0.9157023,0.5387634,0.7375267,0.6277936,0.4836898,0.2429715,-0.0739589,-0.4401105,-0.3135289,-0.8006698,1.072774,-0.08166886
9.194526,1.122552,0.7104824,-0.7532815,0.6667447,0.1624725,-1.043831,0.7717836,-0.6568152,0.5633653,1.166965,-0.2229065,-0.2628302,0.0736677,0.1828889,-0.998386
